               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.049309,            0.035077,           0.0056737,             0.69601,             0.44904,             0.51657,             0.28086,            0.046754,            0.024905,            0.004842,            0.003763,            0.003763,            0.003763
                  65,            0.049144,             0.03463,           0.0054303,             0.69823,             0.45681,             0.52071,              0.2822,            0.046646,            0.024937,           0.0048321,            0.003664,            0.003664,            0.003664
                  66,            0.048976,             0.03416,           0.0054552,             0.71852,             0.45068,             0.52456,             0.28263,              0.0465,            0.024864,           0.0047511,            0.003565,            0.003565,            0.003565
                  67,            0.048956,            0.034801,           0.0054398,             0.70997,             0.45313,             0.52239,             0.28423,            0.046535,            0.024877,           0.0047479,            0.003466,            0.003466,            0.003466
                  68,            0.048882,            0.034745,            0.005405,             0.71316,             0.44904,             0.52124,             0.28361,            0.046577,            0.024898,           0.0046947,            0.003367,            0.003367,            0.003367
                  69,            0.048828,             0.03459,           0.0054479,             0.70904,             0.44743,             0.52184,              0.2845,            0.046603,            0.024871,           0.0046932,            0.003268,            0.003268,            0.003268
                  70,            0.048524,            0.034257,           0.0052836,             0.70073,             0.45032,             0.52072,             0.28378,             0.04652,            0.024868,           0.0046325,            0.003169,            0.003169,            0.003169
                  71,            0.048689,            0.034568,            0.005278,             0.69536,             0.45574,             0.52343,             0.28475,            0.046456,            0.024836,           0.0045844,             0.00307,             0.00307,             0.00307
                  72,            0.048522,            0.034428,           0.0052424,             0.70463,               0.459,             0.52781,             0.28645,            0.046421,            0.024837,           0.0046184,            0.002971,            0.002971,            0.002971
                  73,            0.048355,            0.034648,           0.0052239,             0.72473,             0.44775,             0.52948,             0.28769,            0.046409,            0.024825,           0.0046689,            0.002872,            0.002872,            0.002872
                  74,            0.048288,            0.034226,           0.0052237,             0.72929,             0.44978,             0.52606,             0.28697,             0.04637,             0.02485,           0.0046494,            0.002773,            0.002773,            0.002773
                  75,            0.048276,            0.034434,           0.0050316,             0.73496,             0.44629,             0.52908,             0.28717,            0.046327,            0.024819,           0.0046638,            0.002674,            0.002674,            0.002674
                  76,            0.048197,            0.034145,           0.0050685,             0.73232,             0.44692,             0.53119,             0.28727,            0.046279,            0.024791,           0.0046021,            0.002575,            0.002575,            0.002575
                  77,             0.04817,            0.034512,           0.0050411,             0.73346,             0.44905,             0.53121,             0.28754,            0.046274,            0.024766,           0.0046079,            0.002476,            0.002476,            0.002476
                  78,             0.04803,            0.034377,           0.0049911,             0.73688,             0.44636,             0.53159,             0.28827,            0.046181,            0.024779,           0.0045931,            0.002377,            0.002377,            0.002377
                  79,            0.047904,            0.033981,            0.004915,             0.72728,               0.449,             0.53231,             0.28952,            0.046105,             0.02479,           0.0045913,            0.002278,            0.002278,            0.002278
                  80,            0.047782,            0.034233,           0.0049032,             0.71737,             0.45207,             0.53293,             0.29012,              0.0461,             0.02479,             0.00463,            0.002179,            0.002179,            0.002179
                  81,            0.047631,            0.033888,           0.0048471,             0.71128,             0.45884,             0.53452,             0.29046,            0.046077,            0.024778,           0.0046384,             0.00208,             0.00208,             0.00208
                  82,            0.047611,            0.033708,           0.0048338,              0.7222,             0.45429,             0.53412,             0.29007,            0.046039,            0.024755,           0.0046241,            0.001981,            0.001981,            0.001981
                  83,            0.047547,            0.033706,           0.0048327,             0.72958,             0.44993,             0.53367,             0.29125,            0.045994,            0.024742,           0.0046024,            0.001882,            0.001882,            0.001882
                  84,            0.047331,            0.033945,           0.0047545,             0.73276,             0.45096,             0.53468,             0.29232,            0.045972,             0.02474,            0.004608,            0.001783,            0.001783,            0.001783
                  85,            0.047391,            0.034008,           0.0048118,             0.73709,             0.44857,             0.53434,             0.29281,            0.045963,            0.024741,           0.0045499,            0.001684,            0.001684,            0.001684
                  86,            0.047317,            0.033765,           0.0047984,             0.73102,             0.45726,             0.53525,             0.29362,            0.045948,            0.024734,           0.0045127,            0.001585,            0.001585,            0.001585
                  87,            0.047085,             0.03393,           0.0046605,              0.7214,             0.46088,             0.53698,             0.29377,            0.045904,            0.024737,           0.0045203,            0.001486,            0.001486,            0.001486
